# Foglio1
Causale	Tipo Soggetto	"Matricola INPS Codice INPS Filiale azienda (cfr. tabella ""Formati"")"	Inizio riferimento	Fine riferimento	Modalità di utilizzo (1)								
EBIS	EBISport - Ente Bilaterale Nazionale degli impianti ed attività sportive profit e non profit	Formato 1	MMAAAA	0	D								
EBSP	Ente Bilaterale Nazionale Settore Privato  E.BI.NA.S.P.	Formato 1	MMAAAA	0	D								
EBIG	Ente Bilaterale Generale della Sicurezza e del Terziario  “EBIGEST” 	Formato 1	MMAAAA	0	D								
EBPM	EBIN.PMI - Ente Bilaterale Nazionale per le piccole e medie imprese	Formato 1	MMAAAA	0	D								
ETUR	EBINTUR - Ente Bilaterale Ebintur	Formato 1	MMAAAA	0	D								
HELS	FONDO UNIHELSE	Formato 1	MMAAAA	0	D								
FASN	FASNI - Fondo Assistenza Sanitaria Nazionale Integrativa	Formato 1	MMAAAA	0	D								
EBUA	ENBIUC - Ente Bilaterale UAI-CONFINTESA	Formato 1	MMAAAA	0	D								
BIMO	EBIMO - Ente Bilaterale per l'Innovazione del Mercato Occupazionale	Formato 1	MMAAAA	0	D								
EBUN	EBIUNI - Ente Bilaterale Nazionale delle industrie e imprese	Formato 1	MMAAAA	0	D								
IT24	ENBILAV - E.N.BI.LAV.	Formato 1	MMAAAA	0	D								
BILD	ENTEBILD – Ente Bilaterale Italiano Imprenditori, Lavoratori e Dirigenti	Formato 1	MMAAAA	0	D								
ASS1	Fondo Integrativo del Servizio Sanitario Nazionale ASSICURMED	Formato 1	MMAAAA	0	D								
ESIT	Ente Nazionale Bilaterale Sicurezza, Investigazioni e Tutela “ENBISIT”	Formato 1	MMAAAA	0	D								
FAVP	Fondo di Assistenza Sanitaria Integrativa Vigilanza Privata “FASIV”	Formato 1	MMAAAA	0	D								
RSCT	Recupero spese CTU	Formato 8	MMAAAA	0	D								
RSLE	Recupero spese legali	Formato 8	MMAAAA	0	D								
PFAC	CONTRIBUTI ARTIGIANI – Definizione agevolata dei processi verbali di constatazione – art. 1 del DL n. 119/2018	Formato 7	MMAAAA	MMAAAA	D								
PFCP	CONTRIBUTI COMMERCIANTI – Definizione agevolata dei processi verbali di constatazione – art. 1 del DL n. 119/2018	Formato 7	MMAAAA	MMAAAA	D								
